filename,digit
b00000.png,0
b00001.png,2
b00002.png,5
b00003.png,2
b00004.png,5
b00005.png,5
b00006.png,4
b00007.png,6
b00008.png,9
b00009.png,7
b00010.png,4
b00011.png,1
b00012.png,6
b00013.png,6
b00014.png,8
b00015.png,5
b00016.png,8
b00017.png,6
b00018.png,8
b00019.png,9
b00020.png,1
b00021.png,3
b00022.png,9
b00023.png,0
b00024.png,4
b00025.png,5
b00026.png,2
b00027.png,5
b00028.png,8
b00029.png,7
b00030.png,5
b00031.png,4
b00032.png,3
b00033.png,4
b00034.png,3
b00035.png,6
b00036.png,1
b00037.png,1
b00038.png,9
b00039.png,0
b00040.png,3
b00041.png,3
b00042.png,2
b00043.png,6
b00044.png,9
b00045.png,2
b00046.png,7
b00047.png,4
b00048.png,1
b00049.png,0
b00050.png,1
b00051.png,6
b00052.png,1
b00053.png,6
b00054.png,0
b00055.png,4
b00056.png,1
b00057.png,8
b00058.png,3
b00059.png,0
b00060.png,3
b00061.png,3
b00062.png,5
b00063.png,1
b00064.png,2
b00065.png,7
b00066.png,0
b00067.png,2
b00068.png,4
b00069.png,3
b00070.png,8
b00071.png,7
b00072.png,1
b00073.png,0
b00074.png,8
b00075.png,5
b00076.png,5
b00077.png,4
b00078.png,9
b00079.png,7
b00080.png,4
b00081.png,9
b00082.png,0
b00083.png,3
b00084.png,5
b00085.png,2
b00086.png,8
b00087.png,7
b00088.png,5
b00089.png,5
b00090.png,2
b00091.png,7
b00092.png,6
b00093.png,8
b00094.png,5
b00095.png,0
b00096.png,8
b00097.png,6
b00098.png,8
b00099.png,4
b00100.png,2
b00101.png,8
b00102.png,7
b00103.png,3
b00104.png,8
b00105.png,4
b00106.png,6
b00107.png,1
b00108.png,7
b00109.png,1
b00110.png,7
b00111.png,4
b00112.png,8
b00113.png,2
b00114.png,9
b00115.png,9
b00116.png,4
b00117.png,0
b00118.png,6
b00119.png,6
b00120.png,9
b00121.png,3
b00122.png,8
b00123.png,8
b00124.png,5
b00125.png,1
b00126.png,8
b00127.png,8
b00128.png,9
b00129.png,3
b00130.png,0
b00131.png,0
b00132.png,8
b00133.png,7
b00134.png,0
b00135.png,1
b00136.png,9
b00137.png,2
b00138.png,6
b00139.png,6
b00140.png,9
b00141.png,6
b00142.png,0
b00143.png,0
b00144.png,1
b00145.png,8
b00146.png,2
b00147.png,6
b00148.png,1
b00149.png,8
b00150.png,3
b00151.png,6
b00152.png,5
b00153.png,2
b00154.png,8
b00155.png,8
b00156.png,4
